pool,project,symbol,chain,tvlUsd,apy,apyBase,apyReward,apyMean30d,sigma,mu,stablecoin,ilRisk,exposure,outlier,prediction_class,prediction_prob_pct,poolMeta
2c7146e4-90d0-43a7-9e22-bf3b174a924f,lagoon,DAMMSTABLE,Arbitrum,1521085,7.03039,7.03039,,5.75545,0.14733,5.09807,False,no,single,False,Down,76.0,
e72b5f97-7631-4f13-a251-39d798750f6a,uniswap-v3,HEGIC-WETH,Arbitrum,1470917,0.0,0.0,,0.01222,0.03877,0.20642,False,yes,multi,False,,,0.05%
b0910d1d-5638-4153-a7a6-ad0749605319,fluid-dex,WSTETH-ETH,Arbitrum,1413449,0.002,0.002,,2.21219,0.12392,0.83094,False,no,multi,False,Stable/Up,63.0,
a8e3d841-2788-4647-ad54-5a36fac451b1,aave-v3,DAI,Arbitrum,1353123,1.73047,1.73047,,2.06241,0.19459,4.1304,True,no,single,False,Stable/Up,86.0,
a8241024-73c8-4a22-aeac-6c6320cd462a,pendle,RETH,Arbitrum,1352694,2.099,2.099,,2.06977,0.02352,2.5477,False,no,single,False,Stable/Up,59.0,For LP | Maturity 25JUN2026
03ff6f62-14b0-4be8-8e8b-24e086ab196c,pendle,RETH,Arbitrum,1352694,2.32757,2.32757,,2.33055,0.00426,2.3283,False,no,single,False,Stable/Up,78.0,For buying PT-rETH-25JUN2026
83514d43-0677-43ca-96be-7b33160f4a19,fluid-lending,ETH,Arbitrum,1340917,0.38,0.38,,0.94828,0.04347,1.47324,False,no,single,False,Stable/Up,67.0,
7f1f0f18-9105-4f1d-89e9-fba520bde73d,dolomite,GLV[WBTC-USDC],Arbitrum,1325605,0.0,0.0,,0.0,0.0,0.0,False,yes,multi,False,,,
054b89fc-997b-4600-a4ab-00dbd72c0474,camelot-v2,PENDLE-WETH,Arbitrum,1306192,3.49149,3.49149,0.0,8.13151,0.77144,12.04371,False,yes,multi,False,Stable/Up,56.99999999999999,
2802aef3-8c1c-4ba1-a89f-411f7e3c4fe8,beefy,MIM-USDC,Arbitrum,1292349,10.1303,,,11.98386,0.29169,12.99907,True,no,multi,False,Stable/Up,70.0,Mim
986b9571-aa70-4a60-9c96-ffbd186f3e77,gmx-v2-perps,WBTC.B-USDC,Arbitrum,1265966,0.57439,0.57439,,0.91082,0.38069,6.79444,False,yes,multi,False,Stable/Up,83.0,
a287995e-2249-43d7-bdb0-0ce030930a51,aave-v3,TBTC,Arbitrum,1251681,0.0,0.0,,0.0,0.0,0.0,False,no,single,False,,,
a0240b73-abf8-43dd-8f6e-cc3cc9774d64,uniswap-v4,ETH-USDC,Arbitrum,1218554,32.90832,32.90832,,35.42615,0.76528,31.27459,False,yes,multi,True,Down,86.0,0.30%
